Fiscal Year 2022,A1,A2,A3,B1,B1/B2,B2,BBBCC,BBBCV,C1,C1/D,C2,C3,CW1,CW2,D,E1,E2,E2C,E3,E3D,E3R,F1,F2,G1,G2,G3,G4,G5,H1B,H1B1,H1C,H2A,H2B,H3,H4,I,J1,J2,K1,K2,K3,K4,L1,L2,M1,M2,N8,N9,NATO1,NATO2,NATO3,NATO4,NATO5,NATO6,O1,O2,O3,P1,P2,P3,P4,Q1,R1,R2,T2,T3,T4,T5,T6,TD,TN,U1,U2,U3,U4,U5,Grand Total
Italy,94,444,2,"1,447","5,008",7,0,0,5,"2,436",0,3,0,0,0,221,978,0,0,8,0,"5,957",93,43,136,30,456,2,"1,090",0,0,5,93,14,180,204,"9,141",327,88,4,0,0,"1,692","1,056",123,2,0,0,0,600,3,18,2,7,925,274,208,311,1,11,21,132,61,11,0,0,0,0,0,6,0,1,0,0,0,0,"33,981"
Kazakhstan,36,186,1,20,"14,385",1,0,0,81,0,0,0,0,0,196,0,95,0,0,3,0,"1,232",412,15,195,0,29,0,77,0,0,0,0,0,44,32,"2,970",270,31,13,0,0,80,115,9,0,0,0,0,0,0,0,0,0,23,3,18,33,0,0,8,0,6,3,0,0,0,0,0,2,0,0,0,0,0,0,"20,624"
Kosovo,21,269,0,3,"4,572",0,0,0,0,8,0,9,0,0,0,0,1,0,0,0,0,92,4,0,27,0,28,0,10,0,0,0,0,0,6,13,374,29,74,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,4,4,2,5,0,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,608"
Kyrgyzstan,22,103,0,12,"3,098",1,0,0,114,0,0,0,0,0,141,0,5,0,0,0,0,708,47,10,73,0,67,3,22,0,0,0,1,0,20,38,364,27,7,0,0,0,11,11,3,0,0,0,0,1,0,0,0,0,2,0,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,923"
Latvia,22,92,0,2,358,5,0,0,0,765,0,0,0,0,0,4,12,0,0,0,0,117,6,3,16,2,13,1,28,0,0,0,5,0,14,8,344,15,3,2,0,0,45,38,1,0,0,0,0,143,0,0,0,25,25,1,11,26,0,14,4,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,"2,178"
Liechtenstein,1,8,0,0,6,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,1,0,2,0,0,1,0,0,0,0,7,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
Lithuania,17,211,0,28,436,0,0,0,0,296,0,0,0,0,0,0,87,0,0,3,0,208,4,3,29,4,15,0,44,0,0,1,80,0,28,21,732,21,6,0,0,0,99,80,4,0,0,0,1,50,0,0,1,0,26,7,11,20,0,16,9,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,"2,603"
Luxembourg,5,35,0,0,95,0,0,0,0,39,0,0,0,0,0,0,5,0,0,1,0,54,2,7,12,2,13,0,7,0,0,0,0,0,2,1,52,3,0,0,0,0,20,15,2,0,0,0,0,5,0,0,0,0,8,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,395
Malta,3,45,0,1,93,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,38,0,4,38,2,2,0,8,0,0,0,0,0,1,5,28,4,1,0,0,0,9,6,1,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343
Moldova,10,157,0,37,"2,298",6,0,0,0,91,0,0,0,0,0,1,6,0,0,0,0,63,4,16,4,0,31,1,11,0,0,13,0,0,10,9,442,2,16,1,0,0,16,13,1,0,0,0,0,0,0,0,0,0,9,2,1,20,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,306"
