Fiscal Year 2022,A1,A2,A3,B1,B1/B2,B2,BBBCC,BBBCV,C1,C1/D,C2,C3,CW1,CW2,D,E1,E2,E2C,E3,E3D,E3R,F1,F2,G1,G2,G3,G4,G5,H1B,H1B1,H1C,H2A,H2B,H3,H4,I,J1,J2,K1,K2,K3,K4,L1,L2,M1,M2,N8,N9,NATO1,NATO2,NATO3,NATO4,NATO5,NATO6,O1,O2,O3,P1,P2,P3,P4,Q1,R1,R2,T2,T3,T4,T5,T6,TD,TN,U1,U2,U3,U4,U5,Grand Total
Marshall Islands,6,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Micronesia,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Nauru,0,5,0,1,0,0,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
New Zealand,36,777,1,37,"1,438",17,0,0,3,939,0,323,0,0,0,10,44,0,0,48,0,597,3,13,42,0,47,0,148,0,0,35,14,2,62,53,645,39,32,2,0,0,174,132,13,0,0,0,0,0,0,0,0,0,206,91,56,109,1,2,25,0,11,6,0,0,0,0,0,3,0,1,0,0,0,0,"6,237"
Palau,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Papua New Guinea,13,72,0,15,338,0,0,0,37,0,0,25,0,0,18,0,0,0,0,0,0,58,3,7,21,0,13,0,0,0,0,0,0,0,0,0,40,4,1,0,0,0,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,678
Samoa,11,6,0,4,320,16,0,0,8,108,0,18,0,0,0,0,0,0,0,0,0,5,0,2,17,0,3,0,0,0,0,0,0,0,0,0,37,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,561
Solomon Islands,7,3,0,0,24,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,12,0,4,0,1,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
Tonga,7,11,3,0,227,3,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,17,0,1,6,0,0,1,0,0,0,0,0,0,0,0,89,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,391
Tuvalu,9,12,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Vanuatu,10,10,0,1,85,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,2,0,1,14,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
Argentina,51,777,2,67,"202,479",16,0,0,45,"1,398",0,77,0,0,0,121,"1,122",0,0,0,0,"1,947",186,12,124,1,288,3,401,0,0,215,156,3,250,146,"7,418",275,50,2,0,0,"1,082","1,386",34,4,0,0,0,0,0,0,0,0,438,219,267,480,1,63,198,1,52,30,0,0,0,0,0,12,0,2,0,1,0,0,"221,902"
Bolivia,7,39,2,63,"26,427",3,0,0,23,82,0,6,0,0,0,0,3,0,0,0,0,563,35,3,21,0,133,6,69,0,0,0,0,2,20,4,406,14,25,3,0,0,30,43,7,0,0,0,0,0,0,0,0,0,15,1,4,15,0,28,0,0,10,1,0,0,0,0,0,2,0,0,1,4,0,1,"28,121"
Brazil,212,"3,368",6,"2,300","633,019",32,0,0,180,"5,856",0,202,0,0,0,4,162,0,0,13,0,"9,806","1,687",105,408,0,791,11,"1,999",0,0,146,73,6,"1,317",249,"11,815","1,623",666,110,2,0,"6,266","8,707",194,18,1,0,0,2,0,0,0,1,"1,265",430,600,"1,353",0,83,166,2,161,123,1,3,0,0,0,26,0,1,0,4,0,0,"695,575"
Chile,45,897,0,11,866,65,0,0,4,581,0,123,0,0,0,2,54,0,0,1,0,"2,343",760,32,106,0,106,2,280,"1,449",0,39,27,2,"1,563",61,"3,247",294,36,7,0,0,288,550,45,2,0,0,0,0,0,0,0,0,101,29,70,45,0,9,18,0,18,11,0,0,0,0,0,8,0,1,0,0,0,0,"14,198"
Colombia,118,"3,944",9,175,"126,332",12,0,0,154,"2,540",0,21,0,0,0,17,96,0,0,5,0,"7,038",752,89,15,0,488,21,926,0,0,135,247,5,417,253,"11,381",711,"1,006",319,0,0,877,"1,145",135,5,0,0,0,0,0,0,0,0,343,338,202,398,0,91,79,1,116,35,0,3,0,0,0,62,1,1,0,5,0,0,"161,063"
Ecuador,89,492,6,190,"176,325",13,0,0,20,399,0,47,0,0,0,2,33,0,0,2,0,"1,897",137,51,37,0,140,4,229,0,0,16,115,1,74,46,"5,736",117,139,34,0,0,130,202,27,2,0,0,0,0,0,0,0,0,56,3,25,38,0,27,11,3,21,16,0,4,0,0,0,9,0,3,9,125,1,4,"187,107"
Guyana,19,94,0,44,"6,560",2,0,0,26,445,0,127,0,0,0,0,0,0,0,0,0,123,10,2,3,0,21,0,13,0,0,0,0,0,12,8,59,20,23,6,0,0,7,9,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,"7,662"
Paraguay,25,153,1,90,"7,250",0,0,0,7,28,0,16,0,0,0,8,14,0,0,0,0,257,10,26,75,0,47,6,23,0,0,0,0,0,11,4,"1,477",13,4,0,0,0,10,22,13,0,0,0,0,0,0,0,0,0,7,2,5,7,0,0,5,0,6,0,0,1,0,0,0,3,0,0,0,0,0,0,"9,626"
Peru,93,560,7,290,"57,246",8,0,0,133,"1,964",0,101,0,0,0,0,28,0,0,1,0,"2,642",232,24,8,0,258,32,284,0,0,975,92,2,113,25,"6,422",119,268,44,0,0,247,301,76,0,0,0,0,0,0,0,0,0,100,6,53,63,0,111,3,0,36,12,0,9,0,0,2,6,0,0,1,11,0,0,"73,008"
Suriname,20,59,0,0,"5,587",0,0,0,0,8,0,69,0,0,0,0,0,0,0,0,0,18,0,8,18,0,9,0,6,0,0,0,1,0,0,0,50,1,4,0,0,0,4,10,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,876"
Uruguay,23,196,0,20,"18,995",1,0,0,3,79,0,5,0,0,0,1,7,0,0,0,0,154,19,3,8,0,74,2,45,0,0,62,5,0,14,9,210,19,4,1,0,0,58,64,2,0,0,0,0,0,0,0,0,0,24,11,12,16,1,3,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,160"
Venezuela,4,12,1,46,"27,196",10,0,0,10,572,0,0,0,0,0,1,37,0,0,1,0,"1,018",96,2,3,62,102,1,212,0,0,0,0,1,86,30,278,57,282,90,0,0,329,322,11,2,0,0,0,0,0,0,0,0,145,90,117,758,1,4,212,0,21,15,0,0,0,0,0,31,0,0,0,0,0,0,"32,268"
No Nationality,0,0,0,1,843,5,0,0,0,202,0,0,0,0,0,0,1,0,0,0,0,79,4,0,0,0,1,0,3,0,0,0,0,0,1,2,25,1,17,2,0,0,7,7,1,0,0,0,0,0,0,0,0,0,2,1,3,3,0,2,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,"1,230"
United Nations Laissez-Passer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
